forecast_id,region_code,year_month,ingested_at,precipitation_mm,drought_risk_score,flood_risk_score,seasonal_baseline_mm,source
595,ET-BA,2022-01,2026-06-19 09:59:07+00,15.7,0.0,64.47,6.33,open_meteo_archive
596,ET-BA,2022-02,2026-06-19 09:59:07+00,6.1,0.0,50.54,10.3,open_meteo_archive
597,ET-BA,2022-03,2026-06-19 09:59:07+00,24.0,6.15,31.34,67.64,open_meteo_archive
598,ET-BA,2022-04,2026-06-19 09:59:07+00,142.4,8.04,32.94,127.35,open_meteo_archive
599,ET-BA,2022-05,2026-06-19 09:59:07+00,24.9,19.28,35.15,78.03,open_meteo_archive
600,ET-BA,2022-06,2026-06-19 09:59:07+00,71.0,9.88,68.63,46.55,open_meteo_archive
601,ET-BA,2022-07,2026-06-19 09:59:07+00,90.5,16.34,54.34,85.11,open_meteo_archive
602,ET-BA,2022-08,2026-06-19 09:59:07+00,119.4,14.56,55.78,102.3,open_meteo_archive
603,ET-BA,2022-09,2026-06-19 09:59:07+00,115.3,10.35,49.7,130.89,open_meteo_archive
604,ET-BA,2022-10,2026-06-19 09:59:07+00,150.2,2.88,61.85,119.56,open_meteo_archive
605,ET-BA,2022-11,2026-06-19 09:59:07+00,27.1,1.55,51.68,53.93,open_meteo_archive
606,ET-BA,2022-12,2026-06-19 09:59:07+00,7.2,0.0,41.68,8.27,open_meteo_archive
607,ET-BA,2023-01,2026-06-19 09:59:07+00,12.7,0.0,79.51,6.33,open_meteo_archive
608,ET-BA,2023-02,2026-06-19 09:59:07+00,3.7,0.0,39.76,10.3,open_meteo_archive
609,ET-BA,2023-03,2026-06-19 09:59:07+00,101.5,0.53,65.96,67.64,open_meteo_archive
610,ET-BA,2023-04,2026-06-19 09:59:07+00,145.0,9.3,52.92,127.35,open_meteo_archive
611,ET-BA,2023-05,2026-06-19 09:59:07+00,102.9,3.81,73.95,78.03,open_meteo_archive
612,ET-BA,2023-06,2026-06-19 09:59:07+00,57.5,4.23,78.89,46.55,open_meteo_archive
613,ET-BA,2023-07,2026-06-19 09:59:07+00,80.4,13.04,49.03,85.11,open_meteo_archive
614,ET-BA,2023-08,2026-06-19 09:59:07+00,66.2,17.31,36.42,102.3,open_meteo_archive
615,ET-BA,2023-09,2026-06-19 09:59:07+00,150.2,13.17,51.4,130.89,open_meteo_archive
616,ET-BA,2023-10,2026-06-19 09:59:07+00,131.5,13.14,47.39,119.56,open_meteo_archive
617,ET-BA,2023-11,2026-06-19 09:59:07+00,124.8,0.95,86.43,53.93,open_meteo_archive
